states,HC,DT,GJ
alabama,35.8,58.2,4.2
alaska,40.9,48.3,9.2
arizona,45.4,47.6,5.6
arkansas,36.3,57.0,5.0
california,58.5,35.5,4.4
colorado,47.7,43.6,7.5
connecticut,52.8,40.2,5.5
delaware,52.9,40.4,5.3
district-of-columbia,82.9,12.4,1.8
florida,48.1,47.5,3.2
georgia,45.5,49.5,5.0
hawaii,57.9,34.1,6.0
idaho,35.9,55.5,6.7
illinois,53.6,40.7,4.4
indiana,40.4,52.0,7.6
iowa,45.1,48.0,5.7
kansas,39.0,51.5,7.7
kentucky,37.9,56.1,4.3
louisiana,39.4,55.5,3.4
maine,49.5,42.0,7.0
maryland,59.8,34.1,4.4
massachusetts,58.0,34.6,5.8
michigan,48.4,44.2,6.1
minnesota,48.9,43.1,6.7
mississippi,41.4,54.5,2.6
missouri,41.4,51.4,5.7
montana,37.1,52.1,9.3
nebraska,36.5,54.4,7.4
nevada,47.1,45.9,5.8
new-hampshire,47.5,43.9,7.3
new-jersey,53.5,42.0,3.1
new-mexico,45.7,39.9,13.1
new-york,56.8,37.8,3.8
north-carolina,48.2,47.5,4.3
north-dakota,34.1,57.2,7.1
ohio,45.8,47.7,5.3
oklahoma,33.2,59.2,7.6
oregon,50.9,41.8,5.9
pennsylvania,48.9,45.2,4.6
rhode-island,54.0,39.6,4.8
south-carolina,43.8,50.8,3.9
south-dakota,37.5,53.0,7.9
tennessee,41.1,53.1,4.1
texas,42.5,51.0,4.9
utah,26.7,37.3,5.8
vermont,60.2,32.8,5.2
virginia,49.8,44.3,4.7
washington,53.2,39.9,5.4
west-virginia,33.3,59.8,5.1
wisconsin,49.6,44.3,4.9
wyoming,27.4,62.4,8.1
