,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other,ID,time
Newcastle upon Tyne Central,0.25,0.65,0.05,0.0,0.0,0.02,0.04,0.0,E14000831,2017-06-08 23:01:28
Houghton and Sunderland South,0.3,0.6,0.02,0.0,0.0,0.02,0.06,0.01,E14000754,2017-06-08 23:10:38
Sunderland Central,0.33,0.56,0.04,0.0,0.0,0.02,0.05,0.01,E14000982,2017-06-08 23:46:01
Newcastle upon Tyne East,0.21,0.68,0.06,0.0,0.0,0.02,0.03,0.0,E14000832,2017-06-08 23:56:52
North Swindon,0.54,0.38,0.04,0.0,0.0,0.02,0.03,0.0,E14000851,2017-06-08 23:58:42
Washington and Sunderland West,0.29,0.61,0.02,0.0,0.0,0.01,0.07,0.0,E14001020,2017-06-09 00:04:12
Newcastle upon Tyne North,0.34,0.55,0.05,0.0,0.0,0.01,0.04,0.01,E14000833,2017-06-09 00:14:43
Kettering,0.58,0.36,0.03,0.0,0.0,0.02,0.0,0.0,E14000769,2017-06-09 00:25:43
Nuneaton,0.52,0.41,0.02,0.0,0.0,0.02,0.04,0.0,E14000868,2017-06-09 00:35:04
Middlesbrough,0.27,0.66,0.01,0.0,0.0,0.01,0.04,0.02,E14000819,2017-06-09 00:41:25
Broxbourne,0.62,0.29,0.03,0.0,0.0,0.02,0.04,0.0,E14000606,2017-06-09 00:41:55
Basildon and Billericay,0.61,0.31,0.03,0.0,0.0,0.0,0.04,0.0,E14000544,2017-06-09 00:43:16
Workington,0.42,0.51,0.03,0.0,0.0,0.0,0.04,0.01,E14001053,2017-06-09 00:44:05
South Shields,0.26,0.62,0.02,0.0,0.0,0.04,0.07,0.0,E14000944,2017-06-09 00:51:36
Darlington,0.43,0.51,0.02,0.0,0.0,0.01,0.03,0.0,E14000658,2017-06-09 00:52:17
Jarrow,0.25,0.65,0.03,0.0,0.0,0.02,0.05,0.0,E14000765,2017-06-09 01:08:37
Llanelli,0.24,0.54,0.01,0.0,0.18,0.0,0.03,0.0,W07000045,2017-06-09 01:09:37
Wrexham,0.44,0.49,0.02,0.0,0.05,0.0,0.0,0.0,W07000044,2017-06-09 01:10:18
South Swindon,0.48,0.44,0.04,0.0,0.0,0.02,0.02,0.0,E14000947,2017-06-09 01:11:07
Rutherglen and Hamilton West,0.2,0.38,0.04,0.37,0.0,0.0,0.01,0.01,S14000056,2017-06-09 01:12:57
Harrogate and Knaresborough,0.56,0.2,0.24,0.0,0.0,0.0,0.0,0.01,E14000730,2017-06-09 01:13:37
Stockton North,0.36,0.57,0.02,0.0,0.0,0.01,0.04,0.0,E14000970,2017-06-09 01:14:17
South Basildon and East Thurrock,0.57,0.32,0.02,0.0,0.0,0.01,0.07,0.01,E14000933,2017-06-09 01:14:57
Leigh,0.36,0.56,0.02,0.0,0.0,0.0,0.06,0.0,E14000785,2017-06-09 01:20:17
Wigan,0.28,0.62,0.02,0.0,0.0,0.02,0.06,0.0,E14001039,2017-06-09 01:21:08
Tooting,0.33,0.6,0.05,0.0,0.0,0.02,0.01,0.0,E14000998,2017-06-09 01:24:48
Makerfield,0.31,0.6,0.03,0.0,0.0,0.0,0.0,0.06,E14000805,2017-06-09 01:24:58
Halton,0.22,0.73,0.02,0.0,0.0,0.0,0.03,0.01,E14000725,2017-06-09 01:25:29
Birkenhead,0.18,0.77,0.03,0.0,0.0,0.02,0.0,0.0,E14000559,2017-06-09 01:25:58
Carlisle,0.5,0.44,0.03,0.0,0.0,0.0,0.03,0.0,E14000620,2017-06-09 01:29:38
West Bromwich East,0.38,0.58,0.02,0.0,0.0,0.01,0.0,0.01,E14001029,2017-06-09 01:31:08
Paisley and Renfrewshire South,0.2,0.35,0.03,0.41,0.0,0.0,0.0,0.02,S14000053,2017-06-09 01:32:19
Harlow,0.54,0.38,0.02,0.0,0.0,0.02,0.04,0.0,E14000729,2017-06-09 01:34:30
Knowsley,0.09,0.85,0.02,0.0,0.0,0.01,0.02,0.0,E14000775,2017-06-09 01:36:59
Rayleigh and Wickford,0.67,0.24,0.03,0.0,0.0,0.02,0.04,0.0,E14000888,2017-06-09 01:38:09
Vale of Clwyd,0.44,0.5,0.02,0.0,0.04,0.0,0.0,0.0,W07000060,2017-06-09 01:40:49
Dover,0.52,0.4,0.03,0.0,0.0,0.02,0.03,0.0,E14000670,2017-06-09 01:41:19
Clwyd South,0.39,0.51,0.02,0.0,0.06,0.0,0.02,0.0,W07000062,2017-06-09 01:41:39
Putney,0.44,0.41,0.12,0.0,0.0,0.02,0.01,0.0,E14000887,2017-06-09 01:42:09
West Dunbartonshire,0.17,0.38,0.02,0.43,0.0,0.0,0.0,0.0,S14000059,2017-06-09 01:44:49
Warley,0.26,0.67,0.02,0.0,0.0,0.01,0.03,0.0,E14001016,2017-06-09 01:45:19
Hertsmere,0.61,0.29,0.05,0.0,0.0,0.02,0.03,0.0,E14000745,2017-06-09 01:46:50
Tynemouth,0.36,0.57,0.03,0.0,0.0,0.01,0.02,0.0,E14001006,2017-06-09 01:47:30
Havant,0.6,0.25,0.06,0.0,0.0,0.02,0.04,0.02,E14000736,2017-06-09 01:47:49
South Norfolk,0.58,0.31,0.08,0.0,0.0,0.02,0.0,0.0,E14000941,2017-06-09 01:48:10
Stratford-on-Avon,0.62,0.22,0.12,0.0,0.0,0.03,0.0,0.01,E14000977,2017-06-09 01:48:20
Burnley,0.31,0.47,0.15,0.0,0.0,0.01,0.06,0.0,E14000609,2017-06-09 01:49:40
Kilmarnock and Loudoun,0.27,0.29,0.02,0.42,0.0,0.0,0.0,0.0,S14000040,2017-06-09 01:50:20
Newport East,0.35,0.56,0.03,0.0,0.02,0.0,0.03,0.0,W07000055,2017-06-09 01:50:50
Castle Point,0.67,0.25,0.02,0.0,0.0,0.0,0.05,0.0,E14000622,2017-06-09 01:51:30
Torfaen,0.31,0.58,0.02,0.0,0.05,0.0,0.04,0.0,W07000053,2017-06-09 01:51:50
Yeovil,0.54,0.12,0.3,0.0,0.0,0.02,0.0,0.02,E14001060,2017-06-09 01:52:10
Angus,0.45,0.13,0.03,0.39,0.0,0.0,0.0,0.0,S14000004,2017-06-09 01:52:50
Folkestone and Hythe,0.55,0.28,0.07,0.0,0.0,0.04,0.04,0.01,E14000704,2017-06-09 01:53:00
North Tyneside,0.27,0.64,0.03,0.0,0.0,0.01,0.04,0.0,E14000853,2017-06-09 01:53:10
Dundee East,0.27,0.26,0.04,0.43,0.0,0.0,0.0,0.0,S14000015,2017-06-09 01:53:20
Sefton Central,0.33,0.63,0.03,0.0,0.0,0.01,0.0,0.0,E14000916,2017-06-09 01:54:20
Hartlepool,0.34,0.52,0.02,0.0,0.0,0.0,0.12,0.0,E14000733,2017-06-09 01:54:50
Erewash,0.52,0.43,0.02,0.0,0.0,0.01,0.0,0.01,E14000695,2017-06-09 01:55:00
West Bromwich West,0.4,0.52,0.01,0.0,0.0,0.01,0.06,0.0,E14001030,2017-06-09 01:55:10
Islwyn,0.27,0.59,0.02,0.0,0.08,0.0,0.04,0.0,W07000077,2017-06-09 01:55:21
Oxford East,0.22,0.65,0.09,0.0,0.0,0.03,0.0,0.0,E14000873,2017-06-09 01:55:40
North Warwickshire,0.57,0.39,0.02,0.0,0.0,0.02,0.0,0.0,E14000854,2017-06-09 01:56:00
St Helens North,0.27,0.64,0.03,0.0,0.0,0.02,0.04,0.0,E14000962,2017-06-09 01:57:10
Pontypridd,0.27,0.55,0.05,0.0,0.1,0.0,0.03,0.0,W07000075,2017-06-09 01:57:40
Carmarthen East and Dinefwr,0.26,0.3,0.02,0.0,0.39,0.0,0.02,0.0,W07000067,2017-06-09 01:57:50
"Liverpool, Riverside",0.1,0.84,0.02,0.0,0.0,0.03,0.0,0.0,E14000793,2017-06-09 01:59:10
Fareham,0.63,0.25,0.07,0.0,0.0,0.02,0.03,0.0,E14000699,2017-06-09 01:59:20
Chelmsford,0.54,0.3,0.12,0.0,0.0,0.01,0.03,0.0,E14000628,2017-06-09 01:59:30
Wolverhampton North East,0.4,0.53,0.02,0.0,0.0,0.01,0.04,0.0,E14001049,2017-06-09 01:59:40
Arfon,0.16,0.4,0.02,0.0,0.41,0.0,0.0,0.0,W07000057,2017-06-09 01:59:51
Blaenau Gwent,0.15,0.58,0.01,0.0,0.21,0.0,0.03,0.02,W07000072,2017-06-09 02:01:22
Battersea,0.42,0.46,0.08,0.0,0.0,0.02,0.01,0.02,E14000549,2017-06-09 02:02:41
"East Kilbride, Strathaven and Lesmahagow",0.25,0.32,0.03,0.39,0.0,0.0,0.01,0.0,S14000019,2017-06-09 02:03:41
Wallasey,0.23,0.72,0.02,0.0,0.0,0.01,0.02,0.0,E14001010,2017-06-09 02:03:51
Caerphilly,0.25,0.54,0.02,0.0,0.14,0.01,0.03,0.0,W07000076,2017-06-09 02:04:22
St Helens South and Whiston,0.22,0.68,0.04,0.0,0.0,0.03,0.04,0.0,E14000963,2017-06-09 02:04:31
Vale of Glamorgan,0.48,0.43,0.02,0.0,0.04,0.01,0.02,0.0,W07000078,2017-06-09 02:04:41
Hemel Hempstead,0.55,0.37,0.06,0.0,0.0,0.02,0.0,0.0,E14000739,2017-06-09 02:05:01
Ogmore,0.25,0.62,0.02,0.0,0.08,0.0,0.03,0.0,W07000074,2017-06-09 02:05:11
Preston,0.24,0.68,0.03,0.0,0.0,0.01,0.04,0.0,E14000885,2017-06-09 02:05:51
Ealing Central and Acton,0.35,0.6,0.06,0.0,0.0,0.0,0.0,0.0,E14000674,2017-06-09 02:07:11
Delyn,0.41,0.52,0.03,0.0,0.04,0.0,0.0,0.0,W07000042,2017-06-09 02:07:41
Mid Bedfordshire,0.62,0.28,0.06,0.0,0.0,0.03,0.0,0.01,E14000813,2017-06-09 02:07:51
Torbay,0.53,0.18,0.25,0.0,0.0,0.01,0.02,0.0,E14000999,2017-06-09 02:08:21
Falkirk,0.26,0.3,0.02,0.39,0.0,0.02,0.01,0.0,S14000028,2017-06-09 02:10:01
Rugby,0.54,0.38,0.06,0.0,0.0,0.02,0.0,0.0,E14000905,2017-06-09 02:10:41
Barnsley East,0.27,0.6,0.02,0.0,0.0,0.0,0.08,0.04,E14000542,2017-06-09 02:14:42
Bury North,0.44,0.54,0.02,0.0,0.0,0.0,0.0,0.0,E14000611,2017-06-09 02:14:52
Epping Forest,0.62,0.26,0.06,0.0,0.0,0.02,0.04,0.0,E14000693,2017-06-09 02:15:02
Heywood and Middleton,0.38,0.53,0.02,0.0,0.0,0.0,0.06,0.0,E14000747,2017-06-09 02:15:12
Hertford and Stortford,0.6,0.29,0.08,0.0,0.0,0.03,0.0,0.0,E14000744,2017-06-09 02:15:22
North West Leicestershire,0.58,0.33,0.06,0.0,0.0,0.02,0.0,0.0,E14000858,2017-06-09 02:15:32
Na h-Eileanan an Iar,0.16,0.34,0.02,0.41,0.0,0.0,0.0,0.07,S14000027,2017-06-09 02:15:42
Fylde,0.59,0.33,0.05,0.0,0.0,0.03,0.0,0.0,E14000706,2017-06-09 02:16:02
Blaydon,0.28,0.56,0.09,0.0,0.0,0.01,0.05,0.0,E14000574,2017-06-09 02:17:02
Kingston upon Hull North,0.25,0.64,0.05,0.0,0.0,0.02,0.04,0.0,E14000772,2017-06-09 02:17:12
North East Hertfordshire,0.59,0.28,0.08,0.0,0.0,0.05,0.0,0.0,E14000845,2017-06-09 02:17:22
Wirral West,0.42,0.54,0.03,0.0,0.0,0.01,0.0,0.0,E14001044,2017-06-09 02:17:42
Glenrothes,0.2,0.35,0.03,0.43,0.0,0.0,0.0,0.0,S14000036,2017-06-09 02:17:52
"Sheffield, Brightside and Hillsborough",0.22,0.67,0.02,0.0,0.0,0.02,0.06,0.0,E14000921,2017-06-09 02:18:12
Rushcliffe,0.52,0.38,0.05,0.0,0.0,0.03,0.03,0.0,E14000908,2017-06-09 02:18:22
Moray,0.48,0.11,0.02,0.39,0.0,0.0,0.0,0.0,S14000046,2017-06-09 02:18:42
Garston and Halewood,0.18,0.78,0.03,0.0,0.0,0.01,0.0,0.0,E14000708,2017-06-09 02:19:12
Wycombe,0.5,0.38,0.08,0.0,0.0,0.02,0.02,0.0,E14001056,2017-06-09 02:19:23
Tamworth,0.61,0.35,0.04,0.0,0.0,0.0,0.0,0.0,E14000986,2017-06-09 02:20:22
Blackburn,0.27,0.7,0.02,0.0,0.0,0.0,0.0,0.02,E14000570,2017-06-09 02:20:32
Wellingborough,0.57,0.34,0.03,0.0,0.0,0.02,0.03,0.0,E14001025,2017-06-09 02:20:42
Rhondda,0.1,0.64,0.01,0.0,0.22,0.0,0.03,0.0,W07000052,2017-06-09 02:20:52
Bootle,0.12,0.84,0.02,0.0,0.0,0.01,0.0,0.01,E14000581,2017-06-09 02:21:52
Huntingdon,0.55,0.31,0.08,0.0,0.0,0.02,0.04,0.0,E14000757,2017-06-09 02:22:02
Inverclyde,0.22,0.38,0.02,0.38,0.0,0.0,0.0,0.0,S14000038,2017-06-09 02:22:13
Great Grimsby,0.42,0.49,0.03,0.0,0.0,0.0,0.05,0.01,E14000716,2017-06-09 02:22:23
Amber Valley,0.56,0.38,0.02,0.0,0.0,0.01,0.0,0.01,E14000533,2017-06-09 02:22:32
Wolverhampton South East,0.35,0.58,0.01,0.0,0.0,0.01,0.05,0.0,E14001050,2017-06-09 02:22:42
Pendle,0.49,0.46,0.02,0.0,0.0,0.01,0.0,0.02,E14000875,2017-06-09 02:22:52
Wyre Forest,0.58,0.32,0.04,0.0,0.0,0.02,0.04,0.0,E14001058,2017-06-09 02:23:02
Dundee West,0.16,0.33,0.03,0.47,0.0,0.0,0.0,0.01,S14000016,2017-06-09 02:23:32
Rochford and Southend East,0.49,0.37,0.03,0.0,0.0,0.02,0.04,0.06,E14000899,2017-06-09 02:23:42
Ochil and South Perthshire,0.42,0.2,0.03,0.35,0.0,0.0,0.0,0.0,S14000050,2017-06-09 02:24:33
