ID,Constituency,Cnty,Rgn,Last Election,Party,Votes,Share,Majrty,turnout,Con[b],Lab[c],LD,SNP,UKIP,Grn[d],DUP,SF,PC,SDLP,UUP,APNI,Other[e],Total
W07000049,Aberavon,WGM,WLS,Lab,Lab,"22,662",68.10%,"16,761",66.70%,5901,22662,599,,1345,,,,2761,,,,,33268
W07000058,Aberconwy,CON,WLS,Con,Con,"14,337",44.60%,635,71.00%,14337,13702,941,,,,,,3170,,,,,32150
S14000001,Aberdeen North,SCT,SCT,SNP,SNP,"15,170",41.30%,"4,139",59.20%,8341,11031,1693,15170,,,,,,,,,522,36757
S14000002,Aberdeen South,SCT,SCT,SNP,Con,"18,746",42.10%,"4,752",68.50%,18746,9143,2610,13994,,,,,,,,,,44493
S14000003,Airdrie and Shotts,SCT,SCT,SNP,SNP,"14,291",37.60%,195,59.20%,8813,14096,802,14291,,,,,,,,,,38002
E14000530,Aldershot,HAM,SE,Con,Con,"26,950",55.10%,"11,473",64.20%,26950,15477,3637,,1796,1090,,,,,,,,48950
E14000531,Aldridge-Brownhills,WMD,WM,Con,Con,"26,317",65.40%,"14,307",66.70%,26317,12010,1343,,,,,,,,,,565,40235
E14000532,Altrincham and Sale West,GTM,NW,Con,Con,"26,933",51.00%,"6,426",72.10%,26933,20507,4051,,,1000,,,,,,,299,52790
W07000043,Alyn and Deeside,CON,WLS,Lab,Lab,"23,315",52.10%,"5,235",71.00%,18080,23315,1077,,1117,,,,1171,,,,,44760
E14000533,Amber Valley,DBY,EM,Con,Con,"25,905",56.50%,"8,300",67.30%,25905,17605,1100,,,650,,,,,,,551,45811
S14000004,Angus,SCT,SCT,SNP,Con,"18,148",45.20%,"2,645",63.00%,18148,5233,1308,15503,,,,,,,,,,40192
W07000057,Arfon,GWN,WLS,PC,PC,"11,519",40.80%,92,68.20%,4614,11427,648,,,,,,11519,,,,,28208
S14000005,Argyll and Bute,SCT,SCT,SNP,SNP,"17,304",36.00%,"1,328",71.50%,15976,6044,8745,17304,,,,,,,,,,48069
E14000534,Arundel and South Downs,WSX,SE,Con,Con,"37,573",62.40%,"23,883",75.80%,37573,13690,4783,,1668,2542,,,,,,,,60256
E14000535,Ashfield,NTT,EM,Lab,Lab,"21,285",42.60%,441,64.00%,20844,21285,969,,1885,398,,,,,,,4612,49993
E14000536,Ashford,KEN,SE,Con,Con,"35,318",59.00%,"17,478",68.50%,35318,17840,3101,,2218,1402,,,,,,,,59879
E14000537,Ashton-under-Lyne,GTM,NW,Lab,Lab,"24,005",60.40%,"11,295",60.50%,12710,24005,646,,1878,534,,,,,,,,39773
E14000538,Aylesbury,BKM,SE,Con,Con,"32,313",55.00%,"14,656",71.20%,32313,17657,5660,,1296,1237,,,,,,,620,58783
S14000006,"Ayr, Carrick and Cumnock",SCT,SCT,SNP,Con,"18,550",40.10%,"2,774",64.90%,18550,11024,872,15776,,,,,,,,,,46222
E14000539,Banbury,OXF,SE,Con,Con,"33,388",54.20%,"12,399",73.40%,33388,20989,3452,,1581,1225,,,,,,,927,61562
S14000007,Banff and Buchan,SCT,SCT,SNP,Con,"19,976",48.00%,"3,693",61.60%,19976,3936,1448,16283,,,,,,,,,,41643
E14000540,Barking,LND,LND,Lab,Lab,"32,319",67.80%,"21,608",61.90%,10711,32319,599,,3031,724,,,,,,,295,47679
E14000541,Barnsley Central,SYK,YTH,Lab,Lab,"24,982",63.90%,"15,546",60.90%,9436,24982,549,,3339,570,,,,,,,211,39087
E14000542,Barnsley East,SYK,YTH,Lab,Lab,"24,280",59.50%,"13,283",58.90%,10997,24280,750,,3247,,,,,,,,1502,40776
E14000543,Barrow and Furness,CMA,NW,Lab,Lab,"22,592",47.50%,209,68.50%,22383,22592,1278,,962,375,,,,,,,,47590
E14000544,Basildon and Billericay,ESS,E,Con,Con,"27,381",61.00%,"13,400",65.00%,27381,13981,1548,,2008,,,,,,,,,44918
E14000545,Basingstoke,HAM,SE,Con,Con,"29,510",52.70%,"9,466",68.30%,29510,20044,3406,,1681,1106,,,,,,,213,55960
E14000546,Bassetlaw,NTT,EM,Lab,Lab,"27,467",52.60%,"4,852",66.50%,22615,27467,1154,,,,,,,,,,1014,52250
E14000547,Bath,AVN,SW,Con,LD,"23,436",47.30%,"5,694",74.30%,17742,7279,23436,,,1126,,,,,,,,49583
E14000548,Batley and Spen,WYK,YTH,Lab,Lab,"29,844",55.50%,"8,961",67.10%,20883,29844,1224,,,695,,,,,,,1134,53780
E14000549,Battersea,LND,LND,Con,Lab,"25,292",45.90%,"2,416",71.00%,22876,25292,4401,,357,866,,,,,,,1266,55058
E14000550,Beaconsfield,BKM,SE,Con,Con,"36,559",65.30%,"24,543",72.30%,36559,12016,4448,,1609,1396,,,,,,,,56028
E14000551,Beckenham,LND,LND,Con,Con,"30,632",59.30%,"15,087",76.00%,30632,15545,4073,,,1380,,,,,,,,51630
E14000552,Bedford,BDF,E,Con,Lab,"22,712",46.80%,789,67.50%,21923,22712,2837,,,1008,,,,,,,,48480
N06000001,Belfast East,NIR,NIR,DUP,DUP,"23,917",55.80%,"8,474",67.50%,446,,,,,561,23917,894,,167,1408,15443,54,42890
N06000002,Belfast North,NIR,NIR,DUP,DUP,"21,240",46.20%,"2,081",67.30%,,,,,,644,21240,19159,,2058,,2475,360,45936
N06000003,Belfast South,NIR,NIR,SDLP,DUP,"13,299",30.40%,"1,996",66.10%,246,,,,,2241,13299,7143,,11303,1527,7946,,43705
N06000004,Belfast West,NIR,NIR,SF,SF,"27,107",66.70%,"21,652",65.10%,,,,,,,5455,27107,,2860,,731,4480,40633
E14000553,Bermondsey and Old Southwark,LND,LND,Lab,Lab,"31,161",53.20%,"12,972",67.00%,7581,31161,18189,,838,639,,,,,,,113,58521
S14000008,"Berwickshire, Roxburgh and Selkirk",SCT,SCT,SNP,Con,"28,213",53.90%,"11,060",71.50%,28213,4519,2482,17153,,,,,,,,,,52367
E14000554,Berwick-upon-Tweed,NBL,NE,Con,Con,"22,145",52.50%,"11,781",71.80%,22145,10364,8916,,,787,,,,,,,,42212
E14000555,Bethnal Green and Bow,LND,LND,Lab,Lab,"42,969",71.80%,"35,393",69.50%,7576,42969,2982,,894,1516,,,,,,,3888,59825
E14000556,Beverley and Holderness,HUM,YTH,Con,Con,"32,499",58.40%,"14,042",69.00%,32499,18457,2808,,,716,,,,,,,1158,55638
E14000557,Bexhill and Battle,SXE,SE,Con,Con,"36,854",62.00%,"22,165",73.10%,36854,14689,4485,,2006,1438,,,,,,,,59472
E14000558,Bexleyheath and Crayford,LND,LND,Con,Con,"25,113",55.60%,"9,073",69.20%,25113,16040,1201,,1944,601,,,,,,,290,45189
E14000559,Birkenhead,MSY,NW,Lab,Lab,"33,558",76.90%,"25,514",67.70%,8044,33558,1118,,,943,,,,,,,,43663
E14000560,Birmingham Edgbaston,WMD,WM,Lab,Lab,"24,124",55.30%,"6,917",64.00%,17207,24124,1564,,,562,,,,,,,155,43612
E14000561,Birmingham Erdington,WMD,WM,Lab,Lab,"21,571",58.00%,"7,285",57.20%,14286,21571,750,,,610,,,,,,,,37217
E14000562,Birmingham Hall Green,WMD,WM,Lab,Lab,"42,143",77.60%,"33,944",69.40%,8199,42143,3137,,,831,,,,,,,,54310
E14000563,Birmingham Hodge Hill,WMD,WM,Lab,Lab,"37,606",81.10%,"31,026",61.30%,6580,37606,805,,1016,387,,,,,,,,46394
E14000564,Birmingham Ladywood,WMD,WM,Lab,Lab,"34,166",82.70%,"28,714",59.00%,5452,34166,1156,,,533,,,,,,,,41307
E14000565,Birmingham Northfield,WMD,WM,Lab,Lab,"23,596",53.20%,"4,667",61.30%,18929,23596,959,,,864,,,,,,,,44348
E14000566,Birmingham Perry Barr,WMD,WM,Lab,Lab,"30,109",68.10%,"18,383",63.00%,11726,30109,1080,,,591,,,,,,,691,44197
E14000567,Birmingham Selly Oak,WMD,WM,Lab,Lab,"30,836",62.90%,"15,207",65.90%,15629,30836,1644,,,876,,,,,,,,48985
E14000568,Birmingham Yardley,WMD,WM,Lab,Lab,"25,398",57.10%,"16,574",61.30%,8824,25398,7984,,1916,280,,,,,,,100,44502
E14000569,Bishop Auckland,DUR,NE,Lab,Lab,"20,808",48.10%,502,64.00%,20306,20808,1176,,,,,,,,,,991,43281
E14000570,Blackburn,LAN,NW,Lab,Lab,"33,148",69.80%,"20,368",67.20%,12780,33148,709,,,,,,,,,,878,47515
E14000571,Blackley and Broughton,GTM,NW,Lab,Lab,"28,258",70.40%,"19,601",56.00%,8657,28258,737,,1825,462,,,,,,,174,40113
E14000572,Blackpool North and Cleveleys,LAN,NW,Con,Con,"20,255",49.40%,"2,023",64.10%,20255,18232,747,,1392,381,,,,,,,,41007
E14000573,Blackpool South,LAN,NW,Lab,Lab,"17,581",50.30%,"2,523",59.80%,15058,17581,634,,1339,341,,,,,,,,34953
W07000072,Blaenau Gwent,GNT,WLS,Lab,Lab,"18,787",58.00%,"11,907",63.20%,4783,18787,295,,973,,,,6880,,,,666,32384
E14000574,Blaydon,TWR,NE,Lab,Lab,"26,979",56.10%,"13,477",70.20%,13502,26979,4366,,2459,583,,,,,,,195,48084
E14000575,Blyth Valley,NBL,NE,Lab,Lab,"23,770",55.90%,"7,915",67.00%,15855,23770,1947,,,918,,,,,,,,42490
E14000576,Bognor Regis and Littlehampton,WSX,SE,Con,Con,"30,276",59.00%,"17,494",67.70%,30276,12782,3352,,1861,993,,,,,,,2088,51352
E14000577,Bolsover,DBY,EM,Lab,Lab,"24,153",51.90%,"5,288",63.40%,18865,24153,1372,,2129,,,,,,,,,46519
E14000578,Bolton North East,GTM,NW,Lab,Lab,"22,870",50.60%,"3,797",67.20%,19073,22870,1316,,1567,357,,,,,,,,45183
E14000579,Bolton South East,GTM,NW,Lab,Lab,"25,676",60.70%,"13,126",61.40%,12550,25676,781,,2779,537,,,,,,,,42323
E14000580,Bolton West,GTM,NW,Con,Con,"24,459",47.90%,936,70.10%,24459,23523,1485,,1587,,,,,,,,,51054
E14000581,Bootle,MSY,NW,Lab,Lab,"42,259",84.00%,"36,200",69.00%,6059,42259,837,,,709,,,,,,,424,50288
E14000582,Boston and Skegness,LIN,EM,Con,Con,"27,271",63.60%,"16,572",62.70%,27271,10699,771,,3308,547,,,,,,,283,42879
E14000583,Bosworth,LEI,EM,Con,Con,"31,864",56.70%,"18,351",68.80%,31864,13513,9744,,,1047,,,,,,,,56168
E14000584,Bournemouth East,DOR,SW,Con,Con,"25,221",51.90%,"7,937",65.20%,25221,17284,3168,,1405,1236,,,,,,,304,48618
E14000585,Bournemouth West,DOR,SW,Con,Con,"23,812",53.50%,"7,711",60.80%,23812,16101,2929,,,1247,,,,,,,418,44507
E14000586,Bracknell,BRK,SE,Con,Con,"32,882",58.80%,"16,016",70.60%,32882,16866,4186,,1521,,,,,,,,437,55892
E14000587,Bradford East,WYK,YTH,Lab,Lab,"29,831",65.40%,"20,540",64.80%,9291,29831,843,,1372,289,,,,,,,3996,45622
E14000588,Bradford South,WYK,YTH,Lab,Lab,"22,364",54.50%,"6,700",60.60%,15664,22364,516,,1758,370,,,,,,,377,41049
E14000589,Bradford West,WYK,YTH,Lab,Lab,"29,444",64.70%,"21,902",67.40%,7542,29444,712,,885,481,,,,,,,6464,45528
E14000590,Braintree,ESS,E,Con,Con,"32,873",62.80%,"18,422",69.50%,32873,14451,2251,,1835,916,,,,,,,,52326
W07000068,Brecon and Radnorshire,POW,WLS,Con,Con,"20,081",48.60%,"8,038",73.80%,20081,7335,12043,,576,,,,1299,,,,,41334
E14000591,Brent Central,LND,LND,Lab,Lab,"38,208",73.10%,"27,997",65.00%,10211,38208,2519,,556,802,,,,,,,,52296
E14000592,Brent North,LND,LND,Lab,Lab,"35,496",62.90%,"17,061",68.40%,18435,35496,1614,,,660,,,,,,,239,56444
E14000593,Brentford and Isleworth,LND,LND,Lab,Lab,"35,364",57.40%,"12,182",72.40%,23182,35364,3083,,,,,,,,,,,61629
E14000594,Brentwood and Ongar,ESS,E,Con,Con,"34,811",65.80%,"24,002",70.50%,34811,10809,4426,,1845,915,,,,,,,104,52910
W07000073,Bridgend,MGM,WLS,Lab,Lab,"21,913",50.70%,"4,700",69.60%,17213,21913,919,,781,,,,1783,,,,646,43255
